1237* SEE
0341* 95-53-4
1441* 95-54-5
0824* 95-55-6
0849* 95-57-8
1433* 95-63-6
0453* 95-64-7
1562* 95-68-1
0630* 95-69-2
0144* 95-76-1
1686* 95-78-3
0582* 95-80-7
0142* 95-82-9
1652* 95-85-2
0676* 95-94-3
0879* 95-95-4
1201* 96-09-3
0002* 96-12-8
1263* 96-14-0
0683* 96-18-4
0874* 96-22-0
1711* 96-23-1
1745* 96-31-1
0625* 96-33-3
1410* 96-34-4
1148* 96-45-7
1020* 96-48-0
0416* 97-00-7
1107* 97-02-9
1298* 97-36-9
0272* 97-63-2
1438* 97-77-8
1018* 97-88-1
1270* 97-90-5
1159* 97-99-4
0794* 98-00-0
0276* 98-01-1
0223* 98-05-5
0105* 98-07-7
1626* 98-11-3
1068* 98-51-1
0637* 98-54-4
1762* 98-59-9
0170* 98-82-8
0732* 98-83-9
1156* 98-86-2
0101* 98-87-3
1015* 98-88-4
1703* 98-92-0
1444* 98-94-2
0065* 98-95-3
1411* 99-08-1
0307* 99-09-2
0871* 99-30-9
0254* 99-54-7
1543* 99-56-9
0691* 99-65-0
0617* 99-87-6
0456* 99-97-8
0932* 99-99-0
0846* 100-00-5
0308* 100-01-6
0066* 100-02-7
0331* 100-20-9
0330* 100-21-0
0692* 100-25-4
0257* 100-37-8
1225* 100-39-0
1177* 100-40-3
0268* 100-41-4
0073* 100-42-5
0016* 100-44-7
1338* 100-46-9
1103* 100-47-0
0833* 100-51-6
0102* 100-52-7
0921* 100-61-8
0938* 100-63-0
1014* 100-66-3
1232* 100-69-6
0480* 100-74-3
0790* 100-79-8
0734* 100-80-1
1228* 100-97-0
1124* 101-02-0
0508* 101-14-4
1500* 101-21-3
1446* 101-54-2
0298* 101-68-8
1108* 101-72-4
1111* 101-77-9
1339* 101-83-7
0791* 101-84-8
0193* 101-90-6
0467* 102-06-7
1512* 102-54-5
1034* 102-71-6
1203* 102-76-1
1418* 102-81-8
1048* 102-82-9
0478* 103-11-7
1292* 103-23-1
1385* 103-69-5
1131* 103-71-9
1260* 103-82-2
1340* 103-83-3
1330* 103-90-2
0773* 104-15-4
0890* 104-76-7
0971* 104-94-9
1081* 105-39-5
1086* 105-45-3
0840* 105-46-4
1070* 105-57-7
1022* 105-58-8
1600* 105-59-9
0118* 105-60-2
0458* 105-67-9
0264* 105-74-8
1705* 105-99-7
0889* 106-35-4
1226* 106-40-1
0086* 106-42-3
1386* 106-43-4
0031* 106-44-5
0037* 106-46-7
0026* 106-47-8
0850* 106-48-9
0343* 106-49-0
0805* 106-50-3
0779* 106-51-4
0820* 106-87-6
0636* 106-88-7
0043* 106-89-8
1679* 106-91-2
0096* 106-92-3
0045* 106-93-4
1332* 106-94-5
0232* 106-97-8
0396* 106-98-9
0017* 106-99-0
0090* 107-02-8
1492* 107-03-9
0010* 107-05-1
0250* 107-06-2
0236* 107-07-3
0941* 107-10-8
0823* 107-11-9
0320* 107-12-0
0092* 107-13-1
0844* 107-14-2
0269* 107-15-3
1427* 107-16-4
0095* 107-18-6
0673* 107-19-7
0706* 107-20-0
0270* 107-21-1
1162* 107-22-2
0238* 107-30-2
0664* 107-31-3
0594* 107-39-1
0737* 107-40-4
0660* 107-41-5
1158* 107-49-3
1296* 107-64-2
1278* 107-66-4
1098* 107-70-0
1262* 107-83-5
1294* 107-86-8
0816* 107-87-9
1182* 107-88-0
1334* 107-92-6
0551* 107-98-2
0654* 108-01-0
1050* 108-03-2
0347* 108-05-4
0511* 108-10-1
0665* 108-11-2
0449* 108-18-9
0906* 108-20-3
0907* 108-21-4
0287* 108-23-6
0209* 108-24-7
1312* 108-30-5
0799* 108-31-6
0085* 108-38-3
0646* 108-39-4
0130* 108-42-9
0150* 108-43-0
0342* 108-44-1
1302* 108-45-2
1033* 108-46-3
0435* 108-60-1
0800* 108-65-6
1155* 108-67-8
1356* 108-68-9
1687* 108-69-0
0344* 108-70-3
1231* 108-77-0
1154* 108-78-1
1313* 108-80-5
0713* 108-83-8
1335* 108-84-9
1016* 108-86-1
0923* 108-87-2
0078* 108-88-3
0803* 108-89-4
0642* 108-90-7
0245* 108-91-8
0243* 108-93-0
0425* 108-94-1
0070* 108-95-2
0463* 108-98-5
0802* 108-99-6
0801* 109-06-8
1349* 109-43-3
0346* 109-52-4
1227* 109-55-7
1491* 109-59-1
0940* 109-60-4
1595* 109-61-5
0534* 109-66-0
0703* 109-69-3
1665* 109-70-6
0374* 109-73-9
1465* 109-74-0
1466* 109-77-3
1026* 109-78-4
0018* 109-79-5
1336* 109-83-1
0061* 109-86-4
1152* 109-87-5
0444* 109-89-7
1261* 109-92-2
0623* 109-94-4
0578* 109-99-9
1257* 110-00-9
0677* 110-01-0
1190* 110-02-1
1019* 110-05-4
0815* 110-12-3
1186* 110-16-7
1173* 110-17-8
0494* 110-19-0
1112* 110-30-5
0920* 110-43-0
1284* 110-44-1
1012* 110-46-3
0476* 110-49-6
0279* 110-54-3
1497* 110-61-2
1417* 110-62-3
1104* 110-63-4
1733* 110-65-6
1521* 110-66-7
1568* 110-71-4
0060* 110-80-5
0242* 110-82-7
1054* 110-83-8
1032* 110-85-0
0323* 110-86-1
0317* 110-89-4
0302* 110-91-8
1367* 110-94-1
1442* 110-96-3
0493* 110-97-4
1055* 110-98-5
1179* 111-14-8
0364* 111-15-9
1685* 111-20-6
1443* 111-26-2
1084* 111-27-3
0158* 111-30-8
0352* 111-30-8
1523* 111-31-9
1642* 111-36-4
0620* 111-40-0
0618* 111-42-2
0468* 111-43-3
0417* 111-44-4
0619* 111-46-6
1601* 111-48-8
0933* 111-65-9
0934* 111-66-0
0211* 111-69-3
1082* 111-70-6
0059* 111-76-2
0040* 111-77-3
1245* 111-84-2
1030* 111-87-5
1493* 111-88-6
0039* 111-90-0
1337* 111-92-2
1357* 111-96-6
0839* 112-07-2
1123* 112-24-3
1571* 112-25-4
1160* 112-27-6
1490* 112-30-1
0788* 112-34-5
1291* 112-35-6
1151* 112-36-7
1567* 112-41-4
1149* 112-48-1
1570* 112-49-2
0718* 112-50-5
0042* 112-55-0
1718* 112-57-2
1572* 112-59-4
1176* 112-70-9
1005* 112-80-1
1610* 112-92-5
0191* 114-26-1
0559* 115-07-1
0454* 115-10-6
1027* 115-11-7
1719* 115-18-4
1746* 115-19-5
1373* 115-27-5
0742* 115-29-7
0752* 115-32-2
1383* 115-77-5
1062* 115-86-6
1406* 115-90-2
1677* 115-96-8
0094* 116-06-3
0747* 116-29-0
1374* 117-08-8
1579* 117-79-3
0271* 117-81-7
0895* 118-74-1
0780* 118-75-2
1563* 118-79-6
1295* 118-92-3
0967* 118-96-7
1505* 119-36-8
1214* 119-53-9
0389* 119-61-9
1527* 119-64-2
1623* 119-80-2
1582* 119-90-4
0960* 119-93-7
0825* 120-12-7
0038* 120-36-5
0390* 120-51-4
0447* 120-55-8
0262* 120-61-6
1180* 120-71-8
0505* 120-78-5
0411* 120-80-9
1049* 120-82-1
0438* 120-83-2
0427* 120-92-3
0727* 121-14-2
1740* 121-33-5
0593* 121-43-7
0203* 121-44-8
1556* 121-45-9
0387* 121-54-0
0569* 121-57-3
0877* 121-69-7
1633* 121-73-3
0172* 121-75-5
1641* 121-82-4
1076* 121-87-9
0500* 121-91-5
0622* 122-14-5
0592* 122-20-3
0699* 122-34-9
0466* 122-39-4
0684* 122-52-1
0188* 122-60-1
1290* 122-62-3
0263* 122-66-7
0539* 122-79-2
0538* 122-99-6
0265* 123-01-3
0621* 123-05-7
1414* 123-19-3
1079* 123-25-1
0166* 123-31-9
0550* 123-38-6
1087* 123-39-7
0647* 123-42-2
0798* 123-51-3
0533* 123-54-6
0558* 123-62-6
1042* 123-63-7
0403* 123-72-8
1315* 123-75-1
0380* 123-77-3
0399* 123-86-4
0041* 123-91-1
0356* 123-92-2
1170* 123-96-6
0866* 124-02-7
0369* 124-04-9
0659* 124-09-4
0789* 124-17-4
0428* 124-18-5
1364* 124-22-1
1365* 124-30-1
0021* 124-38-9
0260* 124-40-3
1485* 124-40-3
0771* 124-41-4
0755* 124-58-3
1163* 124-63-0
0285* 124-68-5
0305* 126-30-7
0433* 126-72-7
0584* 126-73-8
0864* 126-75-0
0652* 126-98-7
0133* 126-99-8
0547* 127-08-2
0565* 127-09-3
0076* 127-18-4
0259* 127-19-5
0413* 127-65-1
0841* 128-37-0
1611* 128-39-2
1474* 129-00-0
1547* 130-15-4
0261* 131-11-3
0430* 131-17-9
0532* 131-52-2
1631* 131-74-8
0120* 133-06-2
0156* 133-07-3
0772* 133-37-9
0518* 134-32-7
0719* 135-19-3
0542* 135-88-6
1142* 136-78-7
1272* 137-05-3
0757* 137-26-8
0348* 137-30-4
0506* 137-32-6
0557* 137-40-6
1238* 139-13-9
0697* 139-40-2
1331* 140-11-4
0267* 140-88-5
0400* 141-32-2
0152* 141-43-5
0674* 141-52-6
1165* 141-53-7
1494* 141-59-3
0872* 141-66-2
0367* 141-78-6
0814* 141-79-7
1085* 141-82-2
1024* 141-97-9
1013* 142-04-1
0724* 142-28-9
1167* 142-62-1
0657* 142-82-5
1150* 142-96-1
0035* 143-10-2
0965* 143-22-6
1118* 143-33-9
1432* 143-50-0
0274* 144-49-0
1044* 144-55-8
0529* 144-62-7
